rater_id,error_sd,rater_category,expected_rho
h_1,0.85,low,0.4
h_2,0.85,low,0.4
h_3,0.85,low,0.4
h_4,0.85,low,0.4
h_5,0.85,low,0.4
h_6,0.85,low,0.4
h_7,0.85,low,0.4
h_8,0.85,low,0.4
h_9,0.85,low,0.4
h_10,0.85,low,0.4
h_11,0.85,low,0.4
h_12,0.85,low,0.4
h_13,0.85,low,0.4
h_14,0.85,low,0.4
h_15,0.85,low,0.4
h_16,0.85,low,0.4
h_17,0.85,low,0.4
h_18,0.85,low,0.4
h_19,0.85,low,0.4
h_20,0.85,low,0.4
h_21,0.85,low,0.4
h_22,0.85,low,0.4
h_23,0.85,low,0.4
h_24,0.85,low,0.4
h_25,0.85,low,0.4
h_26,0.85,low,0.4
h_27,0.85,low,0.4
h_28,0.85,low,0.4
h_29,0.85,low,0.4
h_30,0.85,low,0.4
h_31,0.85,low,0.4
h_32,0.85,low,0.4
h_33,0.85,low,0.4
h_34,0.85,low,0.4
h_35,0.85,low,0.4
h_36,0.85,low,0.4
h_37,0.85,low,0.4
h_38,0.85,low,0.4
h_39,0.85,low,0.4
h_40,0.85,low,0.4
h_41,0.85,low,0.4
h_42,0.85,low,0.4
h_43,0.85,low,0.4
h_44,0.85,low,0.4
h_45,0.85,low,0.4
h_46,0.85,low,0.4
h_47,0.85,low,0.4
h_48,0.85,low,0.4
h_49,0.85,low,0.4
h_50,0.85,low,0.4
h_51,0.6,moderate,0.55
h_52,0.6,moderate,0.55
h_53,0.6,moderate,0.55
h_54,0.6,moderate,0.55
h_55,0.6,moderate,0.55
h_56,0.6,moderate,0.55
h_57,0.6,moderate,0.55
h_58,0.6,moderate,0.55
h_59,0.6,moderate,0.55
h_60,0.6,moderate,0.55
h_61,0.6,moderate,0.55
h_62,0.6,moderate,0.55
h_63,0.6,moderate,0.55
h_64,0.6,moderate,0.55
h_65,0.6,moderate,0.55
h_66,0.6,moderate,0.55
h_67,0.6,moderate,0.55
h_68,0.6,moderate,0.55
h_69,0.6,moderate,0.55
h_70,0.6,moderate,0.55
h_71,0.6,moderate,0.55
h_72,0.6,moderate,0.55
h_73,0.6,moderate,0.55
h_74,0.6,moderate,0.55
h_75,0.6,moderate,0.55
h_76,0.6,moderate,0.55
h_77,0.6,moderate,0.55
h_78,0.6,moderate,0.55
h_79,0.6,moderate,0.55
h_80,0.6,moderate,0.55
h_81,0.6,moderate,0.55
h_82,0.6,moderate,0.55
h_83,0.6,moderate,0.55
h_84,0.6,moderate,0.55
h_85,0.6,moderate,0.55
h_86,0.6,moderate,0.55
h_87,0.6,moderate,0.55
h_88,0.6,moderate,0.55
h_89,0.6,moderate,0.55
h_90,0.6,moderate,0.55
h_91,0.6,moderate,0.55
h_92,0.6,moderate,0.55
h_93,0.6,moderate,0.55
h_94,0.6,moderate,0.55
h_95,0.6,moderate,0.55
h_96,0.6,moderate,0.55
h_97,0.6,moderate,0.55
h_98,0.6,moderate,0.55
h_99,0.6,moderate,0.55
h_100,0.6,moderate,0.55
h_101,0.46,average,0.65
h_102,0.46,average,0.65
h_103,0.46,average,0.65
h_104,0.46,average,0.65
h_105,0.46,average,0.65
h_106,0.46,average,0.65
h_107,0.46,average,0.65
h_108,0.46,average,0.65
h_109,0.46,average,0.65
h_110,0.46,average,0.65
h_111,0.46,average,0.65
h_112,0.46,average,0.65
h_113,0.46,average,0.65
h_114,0.46,average,0.65
h_115,0.46,average,0.65
h_116,0.46,average,0.65
h_117,0.46,average,0.65
h_118,0.46,average,0.65
h_119,0.46,average,0.65
h_120,0.46,average,0.65
h_121,0.46,average,0.65
h_122,0.46,average,0.65
h_123,0.46,average,0.65
h_124,0.46,average,0.65
h_125,0.46,average,0.65
h_126,0.46,average,0.65
h_127,0.46,average,0.65
h_128,0.46,average,0.65
h_129,0.46,average,0.65
h_130,0.46,average,0.65
h_131,0.46,average,0.65
h_132,0.46,average,0.65
h_133,0.46,average,0.65
h_134,0.46,average,0.65
h_135,0.46,average,0.65
h_136,0.46,average,0.65
h_137,0.46,average,0.65
h_138,0.46,average,0.65
h_139,0.46,average,0.65
h_140,0.46,average,0.65
h_141,0.46,average,0.65
h_142,0.46,average,0.65
h_143,0.46,average,0.65
h_144,0.46,average,0.65
h_145,0.46,average,0.65
h_146,0.46,average,0.65
h_147,0.46,average,0.65
h_148,0.46,average,0.65
h_149,0.46,average,0.65
h_150,0.46,average,0.65
h_151,0.24000000000000002,high,0.8
h_152,0.24000000000000002,high,0.8
h_153,0.24000000000000002,high,0.8
h_154,0.24000000000000002,high,0.8
h_155,0.24000000000000002,high,0.8
h_156,0.24000000000000002,high,0.8
h_157,0.24000000000000002,high,0.8
h_158,0.24000000000000002,high,0.8
h_159,0.24000000000000002,high,0.8
h_160,0.24000000000000002,high,0.8
h_161,0.24000000000000002,high,0.8
h_162,0.24000000000000002,high,0.8
h_163,0.24000000000000002,high,0.8
h_164,0.24000000000000002,high,0.8
